clip_id,rejection_reason
no_throw_clip_1,not_rejected
no_throw_clip_10,not_rejected
no_throw_clip_100,not_rejected
no_throw_clip_1000,not_rejected
no_throw_clip_1001,not_rejected
no_throw_clip_1002,player_b_max_consecutive_unusable_frames_exceeded
no_throw_clip_1003,not_rejected
no_throw_clip_1004,not_rejected
no_throw_clip_1005,not_rejected
no_throw_clip_1006,not_rejected
no_throw_clip_1007,not_rejected
no_throw_clip_1008,player_b_max_consecutive_unusable_frames_exceeded
no_throw_clip_1009,not_rejected
no_throw_clip_101,player_b_unusable_frame_fraction_exceeded; player_b_max_consecutive_unusable_frames_exceeded
no_throw_clip_1010,player_b_max_consecutive_unusable_frames_exceeded
no_throw_clip_1011,player_a_max_consecutive_unusable_frames_exceeded
no_throw_clip_1012,not_rejected
no_throw_clip_1013,player_b_unusable_frame_fraction_exceeded; player_b_max_consecutive_unusable_frames_exceeded
no_throw_clip_1014,player_a_unusable_frame_fraction_exceeded; player_a_max_consecutive_unusable_frames_exceeded
no_throw_clip_1015,player_a_max_consecutive_unusable_frames_exceeded
no_throw_clip_1016,player_b_unusable_frame_fraction_exceeded; player_b_max_consecutive_unusable_frames_exceeded
no_throw_clip_1017,not_rejected
no_throw_clip_1018,not_rejected
no_throw_clip_1019,not_rejected
no_throw_clip_102,player_b_unusable_frame_fraction_exceeded; player_b_max_consecutive_unusable_frames_exceeded
no_throw_clip_1020,not_rejected
no_throw_clip_1021,player_b_max_consecutive_unusable_frames_exceeded
no_throw_clip_1022,not_rejected
no_throw_clip_1023,player_a_max_consecutive_unusable_frames_exceeded
no_throw_clip_1024,player_b_max_consecutive_unusable_frames_exceeded
no_throw_clip_1025,player_a_max_consecutive_unusable_frames_exceeded; player_b_max_consecutive_unusable_frames_exceeded
no_throw_clip_1026,player_a_unusable_frame_fraction_exceeded; player_a_max_consecutive_unusable_frames_exceeded; player_b_max_consecutive_unusable_frames_exceeded
no_throw_clip_1027,player_b_unusable_frame_fraction_exceeded; player_b_max_consecutive_unusable_frames_exceeded
no_throw_clip_1028,player_b_max_consecutive_unusable_frames_exceeded
no_throw_clip_1029,not_rejected
no_throw_clip_103,player_b_max_consecutive_unusable_frames_exceeded
no_throw_clip_1030,player_a_unusable_frame_fraction_exceeded; player_a_max_consecutive_unusable_frames_exceeded
no_throw_clip_1031,not_rejected
no_throw_clip_1032,player_b_unusable_frame_fraction_exceeded; player_b_max_consecutive_unusable_frames_exceeded
no_throw_clip_1033,not_rejected
no_throw_clip_1034,not_rejected
no_throw_clip_1035,not_rejected
no_throw_clip_1036,not_rejected
no_throw_clip_1037,not_rejected
no_throw_clip_1038,not_rejected
no_throw_clip_1039,not_rejected
no_throw_clip_104,not_rejected
no_throw_clip_1040,not_rejected
no_throw_clip_1041,not_rejected
no_throw_clip_1042,player_b_unusable_frame_fraction_exceeded; player_b_max_consecutive_unusable_frames_exceeded
no_throw_clip_1043,not_rejected
no_throw_clip_1044,player_a_unusable_frame_fraction_exceeded; player_a_max_consecutive_unusable_frames_exceeded
no_throw_clip_1045,player_b_unusable_frame_fraction_exceeded; player_a_max_consecutive_unusable_frames_exceeded; player_b_max_consecutive_unusable_frames_exceeded
no_throw_clip_1046,player_a_max_consecutive_unusable_frames_exceeded
no_throw_clip_1047,not_rejected
no_throw_clip_1048,not_rejected
no_throw_clip_1049,not_rejected
no_throw_clip_105,not_rejected
no_throw_clip_1050,not_rejected
no_throw_clip_1051,not_rejected
no_throw_clip_1052,player_a_max_consecutive_unusable_frames_exceeded
no_throw_clip_1053,not_rejected
no_throw_clip_1054,player_b_max_consecutive_unusable_frames_exceeded
no_throw_clip_1055,not_rejected
no_throw_clip_1056,not_rejected
no_throw_clip_1057,not_rejected
no_throw_clip_1058,player_b_max_consecutive_unusable_frames_exceeded
no_throw_clip_1059,player_b_max_consecutive_unusable_frames_exceeded
no_throw_clip_106,not_rejected
